id_jogo,data_jogo,participantes,inicio,fim,tempo,buyin,stack_inicial
20251002-7,2025-10-02,7,20:00:00,00:00:00,4:00:00,15.0,1500
20250404-9,2025-04-04,9,21:09:37,02:29:15, 5:19:38,20.0,1500
20250605-11,2025-06-05,7,20:30:15,23:50:15, 3:20:00,15.0,1500
20250207-8,2025-02-07,5,21:32:03,02:03:50, 4:30:47,15.0,1500
20250709-12,2025-07-09,7,21:30:15,01:18:15, 3:48:00,15.0,1500
20251212-10,2025-12-12,10,20:00:00,00:00:00,4:00:00,30.0,1500
20251113-8,2025-11-13,8,20:00:00,00:00:00,4:00:00,15.0,1500
20250814-8,2025-08-14,8,20:00:00,00:00:00,4:00:00,15.0,1500
20250516-10,2025-05-16,6,20:30:15,00:11:22, 3:34:27,15.0,1500
20251016-9,2025-10-16,9,20:00:00,00:00:00,4:00:00,15.0,1500
20250118-8,2025-01-18,8,21:32:03,01:19:50, 3:47:47,15.0,1500
20251218-7,2025-12-18,7,20:00:00,00:00:00,4:00:00,30.0,1500
20250320-8,2025-03-20,5,21:40:15,01:16:22, 3:36:07,20.0,1500
20251121-8,2025-11-21,8,20:00:00,00:00:00,4:00:00,15.0,1500
20250221-8,2025-02-21,8,21:09:15,02:11:22, 5:02:07,15.0,1200
20250722-5,2025-07-22,5,20:00:00,00:00:00,4:00:00,15.0,1500
20250822-9,2025-08-22,9,20:00:00,00:00:00,4:00:00,15.0,1500
20250326-8,2025-03-26,5,21:39:15,23:59:22, 2:20:07,15.0,1500
20251027-7,2025-10-27,7,20:00:00,00:00:00,4:00:00,15.0,1500
